date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_16_normalized,smart_16_raw,smart_17_normalized,smart_17_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_168_normalized,smart_168_raw,smart_170_normalized,smart_170_raw,smart_173_normalized,smart_173_raw,smart_174_normalized,smart_174_raw,smart_177_normalized,smart_177_raw,smart_179_normalized,smart_179_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_218_normalized,smart_218_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_231_normalized,smart_231_raw,smart_232_normalized,smart_232_raw,smart_233_normalized,smart_233_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw
2020-01-01,ZCH0C1G4,ST12000NM0007,12000138625024,0,72.0,16310512.0,,,94.0,0.0,100.0,5.0,100.0,32.0,89.0,741754786.0,,,82.0,15958.0,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,71.0,29.0,,,100.0,297.0,100.0,858.0,29.0,29.0,72.0,16310512.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,15782.0,100.0,55520337816.0,100.0,148841929802.0,,,,,,,,,,
2020-01-02,ZCH0C1G4,ST12000NM0007,12000138625024,0,82.0,142664792.0,,,94.0,0.0,100.0,5.0,100.0,32.0,89.0,742431792.0,,,82.0,15974.0,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,72.0,28.0,,,100.0,297.0,100.0,858.0,28.0,28.0,82.0,142664792.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,15798.0,100.0,55520531552.0,100.0,148968090346.0,,,,,,,,,,
2020-01-03,ZCH0C1G4,ST12000NM0007,12000138625024,0,83.0,222144960.0,,,94.0,0.0,100.0,5.0,100.0,32.0,89.0,743920637.0,,,82.0,16006.0,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,71.0,29.0,,,100.0,298.0,100.0,860.0,29.0,29.0,83.0,222144960.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,15829.0,100.0,55520924936.0,100.0,149291317898.0,,,,,,,,,,
2020-01-04,ZCH0C1G4,ST12000NM0007,12000138625024,0,82.0,155951032.0,,,94.0,0.0,100.0,5.0,100.0,32.0,89.0,744678722.0,,,82.0,16021.0,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,71.0,29.0,,,100.0,298.0,100.0,860.0,29.0,29.0,82.0,155951032.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,15845.0,100.0,55521118552.0,100.0,149469071002.0,,,,,,,,,,
2020-01-05,ZCH0C1G4,ST12000NM0007,12000138625024,0,84.0,240636168.0,,,94.0,0.0,100.0,5.0,100.0,40.0,89.0,746161489.0,,,82.0,16053.0,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,71.0,29.0,,,100.0,299.0,100.0,862.0,29.0,29.0,84.0,240636168.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,15876.0,100.0,55521508936.0,100.0,149797506546.0,,,,,,,,,,
2020-01-06,ZCH0C1G4,ST12000NM0007,12000138625024,0,82.0,161170432.0,,,94.0,0.0,100.0,5.0,100.0,40.0,89.0,746864893.0,,,82.0,16069.0,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,72.0,28.0,,,100.0,299.0,100.0,862.0,28.0,28.0,82.0,161170432.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,15892.0,100.0,55521703072.0,100.0,149961987514.0,,,,,,,,,,
2020-01-07,ZCH0C1G4,ST12000NM0007,12000138625024,0,83.0,214499928.0,,,94.0,0.0,100.0,5.0,100.0,48.0,89.0,748254202.0,,,82.0,16100.0,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,68.0,32.0,,,100.0,300.0,100.0,864.0,32.0,32.0,83.0,214499928.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,15923.0,100.0,55522087888.0,100.0,150259072826.0,,,,,,,,,,
2020-01-08,ZCH0C1G4,ST12000NM0007,12000138625024,0,82.0,161144296.0,,,94.0,0.0,100.0,5.0,100.0,56.0,89.0,749028632.0,,,82.0,16116.0,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,67.0,33.0,,,100.0,300.0,100.0,864.0,33.0,33.0,82.0,161144296.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,15939.0,100.0,55522280608.0,100.0,150449665458.0,,,,,,,,,,
2020-01-09,ZCH0C1G4,ST12000NM0007,12000138625024,0,84.0,236366936.0,,,94.0,0.0,100.0,5.0,100.0,656.0,89.0,750534041.0,,,82.0,16148.0,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,1.0,100.0,0.0,,,68.0,32.0,,,100.0,301.0,100.0,866.0,32.0,32.0,84.0,236366936.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,15971.0,100.0,55522675648.0,100.0,150768633722.0,,,,,,,,,,
2020-01-10,ZCH0C1G4,ST12000NM0007,12000138625024,0,82.0,176293120.0,,,94.0,0.0,100.0,5.0,100.0,720.0,89.0,751354655.0,,,82.0,16163.0,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,1.0,100.0,0.0,,,67.0,33.0,,,100.0,301.0,100.0,867.0,33.0,33.0,82.0,176293120.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,15986.0,100.0,55522866440.0,100.0,150952509914.0,,,,,,,,,,
